SubscriptionPlan,AgeGroup,Login,WatchTimeMinutes,ContentPreference,Location,HouseholdSize,PrimaryDevice,PaymentSubscriptionPlan,BillingCycle,IsAutoRenew,TenureDays,DaysSinceLastActivity,TotalLogins,TotalWatchTime,AvgWatchTime,LoginFrequency,ActivityRatio,Actual_Churned,LR_Churn_Probability,XGB_Churn_Probability,LR_Prediction,XGB_Prediction,Segment,SegmentName,Strategy,Offer,Channel
Standard,51+,0,0,Sports,North,4,Smart TV,Standard,Monthly,True,57,47,67,5104,56.08791208791209,1.1754385964912282,1.3958333333333333,0,0.0275140472869664,2.9159228e-05,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Standard,26-35,1,115,Movies,North,4,Tablet,Standard,Monthly,True,136,47,56,4272,46.94505494505494,0.4117647058823529,1.1666666666666667,0,3.837619141846077e-05,8.862641e-11,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Basic,18-25,0,0,TV Shows,East,2,Smart TV,Basic,Quarterly,True,81,47,46,1506,16.54945054945055,0.5679012345679012,0.9583333333333334,0,0.0116961299889929,1.1287869e-07,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Premium,18-25,1,152,Movies,East,2,Mobile,Premium,Annually,True,112,47,65,8284,91.03296703296704,0.5803571428571429,1.3541666666666667,0,0.0005818085481445,1.3787373e-09,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Premium,18-25,1,84,Sports,South,2,Smart TV,Premium,Monthly,True,116,47,65,8064,88.61538461538461,0.5603448275862069,1.3541666666666667,0,0.0002775712535688,8.5422946e-10,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Premium,26-35,1,111,Documentaries,East,2,Smart TV,Premium,Quarterly,True,107,47,64,8054,88.50549450549451,0.5981308411214953,1.3333333333333333,0,0.0011879661240639,2.8804275e-09,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Basic,18-25,0,0,Sports,West,5,Mobile,Basic,Monthly,True,94,47,44,1555,17.087912087912088,0.4680851063829787,0.9166666666666666,0,0.0012665443478012,1.6184261e-09,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Basic,36-50,0,0,Sports,East,1,Smart TV,Basic,Quarterly,False,91,47,46,1461,16.054945054945055,0.5054945054945055,0.9583333333333334,0,0.0038762163257126,6.8682255e-09,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Standard,26-35,1,37,Documentaries,West,5,Smart TV,Standard,Monthly,False,131,47,62,4328,47.56043956043956,0.4732824427480916,1.2916666666666667,0,1.3118062523578227e-05,4.424779e-12,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Standard,26-35,1,98,Documentaries,South,5,Smart TV,Standard,Annually,True,52,47,65,4981,54.73626373626374,1.25,1.3541666666666667,0,0.0445581109726419,2.5623847e-05,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Premium,18-25,1,120,Documentaries,East,4,Mobile,Premium,Annually,True,68,47,60,7302,80.24175824175825,0.8823529411764706,1.25,0,0.0590782170541276,3.3958048e-07,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Basic,51+,1,18,Movies,East,3,Smart TV,Basic,Monthly,True,78,56,41,1431,17.451219512195124,0.5256410256410257,0.7192982456140351,0,0.2054160120382844,4.6514968e-05,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Premium,36-50,0,0,Documentaries,Central,3,Smart TV,Premium,Quarterly,True,75,47,59,6954,76.41758241758242,0.7866666666666666,1.2291666666666667,0,0.0307522068074046,3.880091e-07,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Standard,18-25,1,63,Movies,East,2,Smart TV,Standard,Quarterly,True,80,47,57,4518,49.64835164835165,0.7125,1.1875,0,0.016676268456229,1.264835e-07,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Basic,26-35,0,0,Movies,East,3,Smart TV,Basic,Annually,True,51,47,44,1561,17.153846153846153,0.8627450980392157,0.9166666666666666,0,0.1548853209922308,1.9107878e-05,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Premium,18-25,1,178,Sports,South,3,Mobile,Premium,Monthly,True,93,47,54,6530,71.75824175824175,0.5806451612903226,1.125,0,0.0064867013169174,2.2801764e-08,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Standard,18-25,1,76,Movies,Central,3,Mobile,Standard,Quarterly,False,136,47,63,4445,48.84615384615385,0.4632352941176471,1.3125,0,1.598463134782771e-05,1.5710479e-10,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Basic,26-35,1,30,Documentaries,East,4,Tablet,Basic,Annually,True,112,47,47,1696,18.63736263736264,0.4196428571428571,0.9791666666666666,0,0.0004224352587124,9.7106715e-12,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Standard,51+,1,73,TV Shows,Central,3,Smart TV,Standard,Annually,True,71,47,63,4838,53.16483516483517,0.8873239436619719,1.3125,0,0.0142846934045471,1.9129918e-07,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Basic,36-50,0,0,TV Shows,East,4,Mobile,Basic,Annually,True,117,47,32,1028,11.296703296703296,0.2735042735042735,0.6666666666666666,0,0.0005017651020127,2.7621333e-10,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Premium,26-35,1,167,Documentaries,North,3,Tablet,Premium,Quarterly,True,80,47,66,8031,88.25274725274726,0.825,1.375,0,0.0229125547914582,1.3286984e-07,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Premium,36-50,1,82,Documentaries,East,3,Mobile,Premium,Quarterly,True,74,47,50,5571,61.21978021978022,0.6756756756756757,1.0416666666666667,0,0.093076092313279,2.4387077e-06,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Standard,36-50,1,104,Sports,East,2,Mobile,Standard,Annually,True,117,47,64,4685,51.48351648351648,0.5470085470085471,1.3333333333333333,0,9.410915140231e-05,1.5521059e-09,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Basic,26-35,1,26,Movies,South,3,Web Browser,Basic,Monthly,True,84,47,46,1552,17.054945054945055,0.5476190476190477,0.9583333333333334,0,0.0134587861892617,1.685069e-08,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Standard,51+,1,75,Movies,East,4,Smart TV,Standard,Monthly,True,125,122,12,949,59.3125,0.096,0.0975609756097561,0,0.9609222260475646,0.029125072,1,0,3,High Risk - High Value,VIP retention,1-on-1 account review,Phone call from account manager
Premium,36-50,1,126,Documentaries,Central,3,Smart TV,Premium,Quarterly,True,96,47,59,6954,76.41758241758242,0.6145833333333334,1.2291666666666667,0,0.005255125033607,2.9096892e-08,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Premium,18-25,1,93,Sports,West,1,Mobile,Premium,Monthly,False,125,47,62,7873,86.51648351648352,0.496,1.2916666666666667,0,0.0001326679645454,1.4003684e-10,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Standard,36-50,1,102,Documentaries,North,3,Mobile,Standard,Annually,True,128,47,57,4435,48.73626373626374,0.4453125,1.1875,0,4.718691139413851e-05,3.2920858e-10,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Basic,26-35,0,0,TV Shows,West,4,Mobile,Basic,Monthly,True,88,47,48,1766,19.406593406593405,0.5454545454545454,1.0,0,0.0021757387099648,6.2637255e-09,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Standard,51+,1,62,Documentaries,South,1,Tablet,Standard,Monthly,False,84,76,44,3267,52.693548387096776,0.5238095238095238,0.5714285714285714,0,0.913315364862491,0.0015685965,1,0,3,High Risk - High Value,VIP retention,1-on-1 account review,Phone call from account manager
Standard,26-35,0,0,Sports,West,5,Mobile,Standard,Monthly,True,123,47,69,4943,54.31868131868132,0.5609756097560976,1.4375,0,9.878243121150078e-06,8.644946e-11,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Basic,26-35,0,0,Sports,Central,4,Mobile,Basic,Quarterly,True,109,47,36,1169,12.846153846153848,0.3302752293577982,0.75,0,0.0006018012340736,2.552667e-09,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Basic,36-50,1,34,Sports,East,5,Smart TV,Basic,Annually,True,120,47,36,1262,13.868131868131869,0.3,0.75,0,0.0002432540065328,1.1498899e-10,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Standard,51+,0,0,TV Shows,Central,3,Smart TV,Standard,Annually,True,60,47,63,4838,53.16483516483517,1.05,1.3125,0,0.0295687532437675,2.6671448e-06,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Basic,18-25,1,41,Movies,North,2,Mobile,Basic,Monthly,True,75,47,56,1795,19.725274725274726,0.7466666666666667,1.1666666666666667,0,0.011447251298887,7.5288135e-08,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Standard,26-35,1,57,Documentaries,West,3,Mobile,Standard,Annually,True,50,47,65,4441,48.8021978021978,1.3,1.3541666666666667,0,0.0493828885932578,9.3377785e-05,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Standard,26-35,1,120,TV Shows,East,1,Mobile,Standard,Monthly,True,79,67,51,3921,55.225352112676056,0.6455696202531646,0.75,0,0.6969555133546941,0.011171839,1,0,3,High Risk - High Value,VIP retention,1-on-1 account review,Phone call from account manager
Standard,26-35,1,37,Documentaries,South,5,Smart TV,Standard,Annually,True,76,47,65,4981,54.73626373626374,0.8552631578947368,1.3541666666666667,0,0.0033833322402315,1.8426581e-09,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Basic,36-50,0,0,Documentaries,North,1,Tablet,Basic,Monthly,True,123,47,46,1655,18.186813186813183,0.3739837398373983,0.9583333333333334,0,0.0002483253248507,3.198774e-11,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Standard,36-50,1,57,Sports,East,5,Smart TV,Standard,Quarterly,True,62,47,66,5062,55.62637362637363,1.064516129032258,1.375,0,0.031635879922591,1.1950361e-06,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Standard,36-50,0,0,Documentaries,North,3,Smart TV,Standard,Annually,True,76,47,65,4920,54.06593406593407,0.8552631578947368,1.3541666666666667,0,0.0043590067727541,8.292e-08,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Basic,36-50,1,44,TV Shows,East,5,Smart TV,Basic,Annually,True,121,47,55,2034,22.35164835164835,0.4545454545454545,1.1458333333333333,0,5.49748850988766e-05,3.0268114e-11,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Standard,18-25,1,66,Documentaries,East,3,Web Browser,Standard,Quarterly,True,65,47,66,5132,56.3956043956044,1.015384615384615,1.375,0,0.062308396982108,1.7862103e-06,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Standard,26-35,0,0,Documentaries,West,5,Smart TV,Standard,Monthly,False,94,47,62,4328,47.56043956043956,0.6595744680851063,1.2916666666666667,0,0.0005145096079838,1.3383256e-09,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Basic,51+,1,38,TV Shows,Central,4,Web Browser,Basic,Monthly,True,115,62,43,1483,19.51315789473684,0.3739130434782609,0.6825396825396826,0,0.0170006490681718,6.3335875e-08,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Basic,26-35,1,18,Documentaries,North,3,Web Browser,Basic,Monthly,True,86,47,45,1648,18.10989010989011,0.5232558139534884,0.9375,0,0.0128351534447443,2.8005864e-08,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Basic,51+,1,22,Sports,Central,4,Mobile,Basic,Quarterly,True,61,47,50,1968,21.626373626373628,0.819672131147541,1.0416666666666667,0,0.0608238659635675,2.0114936e-05,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Basic,36-50,1,44,TV Shows,South,1,Mobile,Basic,Annually,True,74,47,46,1555,17.087912087912088,0.6216216216216216,0.9583333333333334,0,0.0241914992175271,6.934625e-08,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Standard,51+,1,62,Movies,North,3,Web Browser,Standard,Monthly,True,118,47,61,4883,53.65934065934066,0.5169491525423728,1.2708333333333333,0,0.0002850641550245,9.1668305e-11,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Basic,26-35,1,51,Sports,Central,4,Web Browser,Basic,Quarterly,True,123,106,14,430,13.4375,0.1138211382113821,0.1308411214953271,0,0.7605576532475019,6.5013412e-09,1,0,3,High Risk - High Value,VIP retention,1-on-1 account review,Phone call from account manager
Basic,36-50,1,26,Documentaries,Central,3,Mobile,Basic,Monthly,False,73,54,45,1677,19.964285714285715,0.6164383561643836,0.8181818181818182,0,0.194064519980079,3.4009863e-05,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Basic,26-35,1,47,Movies,East,2,Mobile,Basic,Quarterly,True,50,47,48,1749,19.21978021978022,0.96,1.0,0,0.2748234893314651,0.0006396637,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Standard,36-50,1,46,TV Shows,East,4,Mobile,Standard,Monthly,True,124,47,59,4519,49.65934065934066,0.4758064516129032,1.2291666666666667,0,0.0001129779627524,1.0137683e-10,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Premium,18-25,0,0,Documentaries,East,4,Mobile,Premium,Annually,True,73,47,60,7302,80.24175824175825,0.821917808219178,1.25,0,0.0220767493504421,2.3962505e-07,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Basic,18-25,0,0,Sports,East,4,Tablet,Basic,Monthly,True,124,47,40,1472,16.175824175824175,0.3225806451612903,0.8333333333333334,0,0.0002211378803672,7.731372e-11,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Standard,51+,1,59,Documentaries,South,1,Tablet,Standard,Monthly,False,89,76,44,3267,52.693548387096776,0.4943820224719101,0.5714285714285714,0,0.8586340899480294,0.0001344813,1,0,3,High Risk - High Value,VIP retention,1-on-1 account review,Phone call from account manager
Premium,18-25,0,0,Documentaries,North,5,Smart TV,Premium,Annually,True,75,47,65,8123,89.26373626373626,0.8666666666666667,1.3541666666666667,0,0.0091163571622111,7.0926184e-08,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Standard,26-35,1,97,Movies,East,3,Smart TV,Standard,Monthly,True,97,47,64,4864,53.45054945054945,0.6597938144329897,1.3333333333333333,0,0.0012129057520823,1.5687917e-08,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Basic,36-50,1,40,Sports,East,5,Smart TV,Basic,Annually,True,133,47,36,1262,13.868131868131869,0.2706766917293233,0.75,0,5.81817684475824e-05,7.96226e-11,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Standard,51+,1,56,Sports,North,5,Tablet,Standard,Quarterly,True,136,47,68,5328,58.54945054945055,0.5,1.4166666666666667,0,1.1210567544028012e-05,1.6886031e-10,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Basic,18-25,1,19,Movies,North,2,Mobile,Basic,Monthly,True,57,47,56,1795,19.725274725274726,0.9824561403508772,1.1666666666666667,0,0.0722838861704176,0.00047003114,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Basic,18-25,0,0,Documentaries,South,3,Tablet,Basic,Monthly,True,68,68,40,1347,19.242857142857144,0.5882352941176471,0.5797101449275363,1,0.8444258473432861,0.7767795,1,1,3,High Risk - High Value,VIP retention,1-on-1 account review,Phone call from account manager
Standard,36-50,0,0,Movies,North,1,Mobile,Standard,Annually,True,64,47,59,4321,47.48351648351648,0.921875,1.2291666666666667,0,0.0316317285668271,2.2460476e-06,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Standard,26-35,1,112,TV Shows,North,5,Smart TV,Standard,Quarterly,True,111,47,57,4465,49.06593406593407,0.5135135135135135,1.1875,0,0.0002521955822835,3.0298353e-09,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Premium,18-25,0,0,Sports,North,4,Web Browser,Premium,Annually,True,109,47,58,6622,72.76923076923077,0.5321100917431193,1.2083333333333333,0,0.0004450721931492,5.500437e-09,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Premium,18-25,1,91,Sports,North,4,Web Browser,Premium,Annually,True,91,47,58,6622,72.76923076923077,0.6373626373626373,1.2083333333333333,0,0.0049964496234358,1.4426497e-08,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Standard,18-25,1,102,Sports,North,3,Web Browser,Standard,Annually,True,87,47,71,5297,58.20879120879121,0.8160919540229885,1.4791666666666667,0,0.0015123992912723,1.4365869e-08,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Standard,36-50,1,56,Sports,South,2,Web Browser,Standard,Annually,True,126,47,64,5125,56.31868131868132,0.5079365079365079,1.3333333333333333,0,4.906296275025877e-05,7.181311e-10,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Premium,18-25,1,86,Sports,South,2,Smart TV,Premium,Monthly,True,112,47,65,8064,88.61538461538461,0.5803571428571429,1.3541666666666667,0,0.0004314658060854,6.405417e-10,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Basic,26-35,1,44,Documentaries,West,2,Smart TV,Basic,Annually,True,107,47,46,1730,19.01098901098901,0.4299065420560747,0.9583333333333334,0,0.0003619950791334,5.137766e-10,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Premium,36-50,1,149,Documentaries,North,4,Smart TV,Premium,Quarterly,True,120,47,66,8524,93.67032967032966,0.55,1.375,0,0.0002388981353829,7.015197e-10,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Basic,36-50,1,52,Movies,West,1,Tablet,Basic,Monthly,True,99,47,40,1334,14.65934065934066,0.404040404040404,0.8333333333333334,0,0.007068598356507,2.398663e-09,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Basic,26-35,0,0,Movies,North,4,Smart TV,Basic,Monthly,True,72,47,39,1224,13.45054945054945,0.5416666666666666,0.8125,0,0.0313615781133455,3.8006478e-06,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Standard,26-35,1,70,Movies,East,3,Smart TV,Standard,Monthly,True,115,47,64,4864,53.45054945054945,0.5565217391304348,1.3333333333333333,0,0.0001639702849163,2.4410576e-11,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Standard,36-50,1,91,TV Shows,North,5,Smart TV,Standard,Annually,True,110,47,59,4245,46.64835164835165,0.5363636363636364,1.2291666666666667,0,0.0001952714828197,3.0600413e-09,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Premium,18-25,1,140,Sports,West,1,Mobile,Premium,Monthly,False,49,47,62,7873,86.51648351648352,1.2653061224489797,1.2916666666666667,0,0.3427574118460731,0.00042520044,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Standard,18-25,1,49,TV Shows,Central,4,Smart TV,Standard,Monthly,True,137,47,61,4378,48.10989010989011,0.4452554744525547,1.2708333333333333,0,1.5495048923814395e-05,3.311689e-11,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Standard,18-25,1,117,Documentaries,South,3,Mobile,Standard,Monthly,True,72,47,56,4150,45.604395604395606,0.7777777777777778,1.1666666666666667,0,0.029041119141068,8.4775786e-07,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Premium,18-25,1,160,Sports,North,1,Mobile,Premium,Quarterly,True,117,47,66,8358,91.84615384615384,0.5641025641025641,1.375,0,0.0003026759257706,1.2304823e-09,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Premium,26-35,1,61,TV Shows,East,3,Smart TV,Premium,Monthly,True,64,47,63,7687,84.47252747252747,0.984375,1.3125,0,0.1024049718950016,6.9466176e-07,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Standard,26-35,0,0,Movies,North,4,Tablet,Standard,Monthly,True,60,47,56,4272,46.94505494505494,0.9333333333333332,1.1666666666666667,0,0.0871326147071961,1.3788527e-05,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Basic,26-35,0,0,Movies,East,3,Tablet,Basic,Annually,True,116,47,42,1533,16.846153846153847,0.3620689655172414,0.875,0,0.0003359982042095,1.7660758e-11,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Standard,36-50,0,0,Documentaries,North,1,Mobile,Standard,Monthly,True,56,47,66,4605,50.604395604395606,1.1785714285714286,1.375,0,0.0627878071130104,5.3940206e-05,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Basic,36-50,1,44,TV Shows,East,1,Smart TV,Basic,Annually,True,63,47,46,1714,18.83516483516484,0.7301587301587301,0.9583333333333334,0,0.1043275884030197,1.1988499e-06,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Standard,51+,1,115,TV Shows,Central,3,Smart TV,Standard,Annually,True,116,47,63,4838,53.16483516483517,0.5431034482758621,1.3125,0,0.0001128777471079,7.9793977e-10,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Premium,18-25,1,149,Sports,Central,4,Smart TV,Premium,Monthly,True,133,47,68,8444,92.7912087912088,0.5112781954887218,1.4166666666666667,0,3.739850466732712e-05,4.0001819e-10,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Premium,36-50,1,138,Movies,East,4,Mobile,Premium,Monthly,True,61,47,58,7344,80.7032967032967,0.9508196721311476,1.2083333333333333,0,0.2536948671488122,7.344699e-05,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Basic,26-35,0,0,Movies,East,3,Tablet,Basic,Annually,True,84,47,42,1533,16.846153846153847,0.5,0.875,0,0.0112128397963887,1.1738148e-08,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Basic,36-50,1,39,Sports,East,5,Smart TV,Basic,Annually,True,58,47,36,1262,13.868131868131869,0.6206896551724138,0.75,0,0.180306187857221,2.449766e-06,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Standard,36-50,0,0,Movies,West,5,Mobile,Standard,Annually,True,117,47,58,4212,46.285714285714285,0.4957264957264957,1.2083333333333333,0,5.31124363010876e-05,8.423617e-10,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Standard,26-35,0,0,TV Shows,East,1,Mobile,Standard,Monthly,True,112,67,51,3921,55.225352112676056,0.4553571428571428,0.75,0,0.0367514393804681,1.3793009e-08,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Basic,36-50,0,0,Movies,North,4,Smart TV,Basic,Quarterly,True,124,47,42,1393,15.307692307692308,0.3387096774193548,0.875,0,0.000107241465323,1.6870128e-10,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Basic,36-50,1,37,Movies,North,4,Smart TV,Basic,Quarterly,True,131,47,42,1393,15.307692307692308,0.3206106870229007,0.875,0,7.313866590228251e-05,2.8450593e-11,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Standard,51+,0,0,Sports,North,4,Smart TV,Standard,Monthly,True,77,47,67,5104,56.08791208791209,0.8701298701298701,1.3958333333333333,0,0.003341448943581,1.0524742e-07,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Basic,26-35,0,0,Documentaries,East,1,Mobile,Basic,Monthly,True,52,47,38,1347,14.802197802197805,0.7307692307692307,0.7916666666666666,0,0.3885398955400741,0.00013674227,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Standard,18-25,1,72,Movies,West,3,Smart TV,Standard,Quarterly,True,123,47,55,4293,47.175824175824175,0.4471544715447154,1.1458333333333333,0,9.471869470084588e-05,2.0601729e-11,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Basic,18-25,0,0,Sports,East,3,Mobile,Basic,Monthly,True,64,47,54,1895,20.824175824175825,0.84375,1.125,0,0.0270298606354469,3.5698752e-06,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Basic,26-35,1,25,Sports,West,4,Smart TV,Basic,Monthly,True,112,47,44,1473,16.186813186813186,0.3928571428571428,0.9166666666666666,0,0.0002252808964969,1.4317601e-10,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Basic,36-50,0,0,Documentaries,Central,3,Mobile,Basic,Monthly,False,133,54,45,1677,19.964285714285715,0.3383458646616541,0.8181818181818182,0,0.0002262848938508,1.1010713e-10,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Basic,26-35,0,0,TV Shows,South,2,Tablet,Basic,Monthly,True,99,47,48,1532,16.835164835164836,0.4848484848484848,1.0,0,0.001589408838252,7.4102213e-09,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Basic,51+,0,0,Movies,South,3,Smart TV,Basic,Monthly,True,129,47,54,1800,19.78021978021978,0.4186046511627907,1.125,0,2.1903163084715142e-05,1.2240538e-10,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Standard,36-50,1,118,Sports,East,5,Smart TV,Standard,Quarterly,True,133,47,66,5062,55.62637362637363,0.4962406015037593,1.375,0,1.5422690547387138e-05,1.1799941e-09,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Standard,26-35,1,32,Movies,East,5,Mobile,Standard,Monthly,True,97,47,65,4907,53.92307692307692,0.6701030927835051,1.3541666666666667,0,0.0008289321750856,6.249009e-10,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Standard,26-35,1,55,Movies,Central,3,Web Browser,Standard,Annually,True,135,47,65,5071,55.72527472527472,0.4814814814814814,1.3541666666666667,0,1.6943801183810908e-05,1.7987837e-11,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Basic,51+,0,0,Movies,East,3,Smart TV,Basic,Monthly,True,132,56,41,1431,17.451219512195124,0.3106060606060606,0.7192982456140351,0,0.000468793048011,4.7929195e-13,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Premium,36-50,1,160,Documentaries,North,4,Smart TV,Premium,Quarterly,True,77,47,66,8524,93.67032967032966,0.8571428571428571,1.375,0,0.025695311183227,6.6723096e-08,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
